lambda,rho,Kf_cond,Kc_cond
210,0.53999000787735,2.24598979949951,1.62050807476044
211,0.542621374130249,2.24008464813232,1.64069759845734
212,0.556358516216278,2.23423504829407,1.61860036849976
213,0.570742607116699,2.22844052314758,1.64707577228546
214,0.558822572231293,2.22270011901855,1.62428188323975
215,0.549598097801209,2.21701312065125,1.60037839412689
216,0.550033867359161,2.21137881278992,1.60820090770721
217,0.571096658706665,2.20579648017883,1.62665474414825
218,0.582744002342224,2.20026540756226,1.63495182991028
219,0.55452698469162,2.19478464126587,1.60180234909058
220,0.53852128982544,2.18935370445251,1.5852484703064
221,0.575740158557892,2.18397212028503,1.60905289649963
222,0.545538067817688,2.17863893508911,1.58398616313934
223,0.546628475189209,2.17335343360901,1.59005498886108
224,0.56443202495575,2.16811537742615,1.59393632411957
225,0.561883807182312,2.16292381286621,1.58886098861694
226,0.569198131561279,2.15777802467346,1.58780002593994
227,0.58188271522522,2.15267777442932,1.59363758563995
228,0.567710220813751,2.14762210845947,1.58014559745789
229,0.561461210250855,2.14261054992676,1.57233369350433
230,0.537096381187439,2.1376428604126,1.55094563961029
231,0.540194511413574,2.1327178478241,1.5557507276535
232,0.555301010608673,2.12783551216126,1.56181621551514
233,0.570847749710083,2.12299489974976,1.56664848327637
234,0.544615626335144,2.11819577217102,1.55486118793488
235,0.555857241153717,2.11343765258789,1.55519616603851
236,0.554147124290466,2.10871958732605,1.56642293930054
237,0.544230818748474,2.1040415763855,1.53923392295837
238,0.573803782463074,2.09940266609192,1.55525946617126
239,0.575488090515137,2.09480261802673,1.55506551265717
240,0.54612135887146,2.09024095535278,1.53960049152374
241,0.561174273490906,2.08571720123291,1.54270565509796
242,0.562692821025848,2.08123064041138,1.54293596744537
243,0.581547915935516,2.07678127288818,1.55299746990204
244,0.57453989982605,2.07236814498901,1.549600481987
245,0.567059278488159,2.06799125671387,1.53945589065552
246,0.564688622951508,2.06364965438843,1.53396320343018
247,0.55425226688385,2.05934357643127,1.5257602930069
248,0.554330468177795,2.05507183074951,1.52323532104492
249,0.545023202896118,2.05083465576172,1.51577639579773
250,0.571710467338562,2.04663133621216,1.5220285654068
251,0.54172420501709,2.04246139526367,1.51569890975952
252,0.586776375770569,2.03832483291626,1.53669023513794
253,0.583797216415405,2.03422069549561,1.52883589267731
254,0.598313510417938,2.03014898300171,1.53345060348511
255,0.563044309616089,2.02610921859741,1.52202606201172
256,0.57643735408783,2.02210092544556,1.5108118057251
257,0.57957798242569,2.01812386512756,1.50685095787048
258,0.549596309661865,2.01417756080627,1.49243319034576
259,0.576947569847107,2.01026201248169,1.50725257396698
260,0.578055620193481,2.00637626647949,1.5030072927475
261,0.596771419048309,2.00252056121826,1.51862275600433
262,0.592837572097778,1.99869406223297,1.51287984848022
263,0.58722710609436,1.99489676952362,1.51059293746948
264,0.572500824928284,1.99112820625305,1.52635860443115
265,0.564700186252594,1.9873880147934,1.49483633041382
266,0.590011715888977,1.98367607593536,1.50067162513733
267,0.593207359313965,1.9799919128418,1.50500953197479
268,0.57820725440979,1.97633516788483,1.48683547973633
269,0.571465492248535,1.97270572185516,1.4798150062561
270,0.609460592269898,1.96910309791565,1.52049541473389
271,0.583226382732391,1.96552705764771,1.48556780815125
272,0.58254075050354,1.96197736263275,1.48138332366943
273,0.598583102226257,1.95845365524292,1.48916041851044
274,0.577786684036255,1.95495557785034,1.47537910938263
275,0.585570514202118,1.95148301124573,1.47605407238007
276,0.58298933506012,1.94803559780121,1.48235762119293
277,0.588414549827576,1.94461309909821,1.48063063621521
278,0.579778790473938,1.94121527671814,1.46177959442139
279,0.579093158245087,1.93784165382385,1.46891617774963
280,0.60341215133667,1.93449223041534,1.48386359214783
281,0.585911273956299,1.93116664886475,1.47655963897705
282,0.575056076049805,1.92786467075348,1.45783770084381
283,0.594879627227783,1.92458593845367,1.46813189983368
284,0.5912726521492,1.92133045196533,1.4691766500473
285,0.602533102035523,1.918097615242,1.47712779045105
286,0.598725199699402,1.91488754749298,1.46022427082062
287,0.591165542602539,1.9116997718811,1.46642935276032
288,0.594971299171448,1.90853416919708,1.46127378940582
289,0.576558709144592,1.90539038181305,1.45910573005676
290,0.5993891954422,1.902268409729,1.45996594429016
291,0.584996104240418,1.89916777610779,1.44955909252167
292,0.612860918045044,1.8960884809494,1.46174824237823
293,0.59137374162674,1.89303016662598,1.45959627628326
294,0.599659562110901,1.88999259471893,1.44811165332794
295,0.598478496074677,1.88697576522827,1.43992364406586
296,0.603922724723816,1.88397920131683,1.44534814357758
297,0.605568826198578,1.88100278377533,1.44261765480042
298,0.609452366828919,1.87804639339447,1.4467488527298
299,0.585914611816406,1.87510979175568,1.44242608547211
300,0.62399423122406,1.87219274044037,1.45649969577789
301,0.596722722053528,1.86929512023926,1.43943858146667
302,0.589770197868347,1.86641669273376,1.43207085132599
303,0.55727881193161,1.86355721950531,1.41740679740906
304,0.597287833690643,1.8607165813446,1.4342737197876
305,0.612080216407776,1.85789453983307,1.4419322013855
306,0.620970129966736,1.85509097576141,1.43643641471863
307,0.597745418548584,1.85230565071106,1.42229735851288
308,0.590392529964447,1.84953844547272,1.42242562770844
309,0.608434796333313,1.84678912162781,1.43415236473084
310,0.617078185081482,1.84405755996704,1.43760025501251
311,0.584509253501892,1.84134352207184,1.41218614578247
312,0.588498115539551,1.83864688873291,1.41308224201202
313,0.59625381231308,1.83596754074097,1.41421747207642
314,0.588026881217957,1.83330523967743,1.40989458560944
315,0.59066516160965,1.83065974712372,1.41241276264191
316,0.595127403736115,1.82803118228912,1.40747845172882
